PASO DISCRETIZACION,GRADIENTE DE PRESION,VISCOSIDAD,Y,V
0.01,-43.75,0.95,0.08,0.08842105263157896
0.01,-43.75,0.95,0.09,0.04973684210526316
0.005,-43.75,0.95,0.005,0.02625
0.005,-43.75,0.95,0.01,0.049736842105263156
0.005,-43.75,0.95,0.015,0.07046052631578947
0.005,-43.75,0.95,0.02,0.08842105263157896
0.005,-43.75,0.95,0.025,0.10361842105263158
0.005,-43.75,0.95,0.030000000000000002,0.11605263157894737
0.005,-43.75,0.95,0.035,0.1257236842105263
0.005,-43.75,0.95,0.04,0.1326315789473684
0.005,-43.75,0.95,0.045,0.13677631578947366
0.005,-43.75,0.95,0.049999999999999996,0.1381578947368421
0.005,-43.75,0.95,0.05499999999999999,0.13677631578947366
0.005,-43.75,0.95,0.05999999999999999,0.1326315789473684
0.005,-43.75,0.95,0.06499999999999999,0.12572368421052632
0.005,-43.75,0.95,0.06999999999999999,0.11605263157894737
0.005,-43.75,0.95,0.075,0.10361842105263158
0.005,-43.75,0.95,0.08,0.08842105263157896
0.005,-43.75,0.95,0.085,0.07046052631578949
0.005,-43.75,0.95,0.09000000000000001,0.04973684210526316
0.005,-43.75,0.95,0.09500000000000001,0.026250000000000002
0.025,-87.5,0.95,0.025,0.10361842105263158
0.025,-87.5,0.95,0.05,0.13815789473684212
0.025,-87.5,0.95,0.07500000000000001,0.10361842105263158
0.01,-87.5,0.95,0.01,0.04973684210526316
0.01,-87.5,0.95,0.02,0.08842105263157896
0.01,-87.5,0.95,0.03,0.11605263157894738
0.01,-87.5,0.95,0.04,0.13263157894736843
0.01,-87.5,0.95,0.05,0.13815789473684212
0.01,-87.5,0.95,0.060000000000000005,0.13263157894736843
0.01,-87.5,0.95,0.07,0.11605263157894738
0.01,-87.5,0.95,0.08,0.08842105263157896
0.01,-87.5,0.95,0.09,0.04973684210526316
0.005,-87.5,0.95,0.005,0.02625
0.005,-87.5,0.95,0.01,0.049736842105263156
0.005,-87.5,0.95,0.015,0.07046052631578947
0.005,-87.5,0.95,0.02,0.08842105263157896
0.005,-87.5,0.95,0.025,0.10361842105263158
0.005,-87.5,0.95,0.030000000000000002,0.11605263157894737
0.005,-87.5,0.95,0.035,0.1257236842105263
0.005,-87.5,0.95,0.04,0.1326315789473684
0.005,-87.5,0.95,0.045,0.13677631578947366
0.005,-87.5,0.95,0.049999999999999996,0.1381578947368421
0.005,-87.5,0.95,0.05499999999999999,0.13677631578947366
0.005,-87.5,0.95,0.05999999999999999,0.1326315789473684
0.005,-87.5,0.95,0.06499999999999999,0.12572368421052632
0.005,-87.5,0.95,0.06999999999999999,0.11605263157894737
0.005,-87.5,0.95,0.075,0.10361842105263158
0.005,-87.5,0.95,0.08,0.08842105263157896
0.005,-87.5,0.95,0.085,0.07046052631578949
0.005,-87.5,0.95,0.09000000000000001,0.04973684210526316
0.005,-87.5,0.95,0.09500000000000001,0.026250000000000002
0.025,-131.25,0.95,0.025,0.10361842105263158
0.025,-131.25,0.95,0.05,0.13815789473684212
0.025,-131.25,0.95,0.07500000000000001,0.10361842105263158
0.01,-131.25,0.95,0.01,0.04973684210526316
0.01,-131.25,0.95,0.02,0.08842105263157896
0.01,-131.25,0.95,0.03,0.11605263157894738
0.01,-131.25,0.95,0.04,0.13263157894736843
0.01,-131.25,0.95,0.05,0.13815789473684212
0.01,-131.25,0.95,0.060000000000000005,0.13263157894736843
0.01,-131.25,0.95,0.07,0.11605263157894738
0.01,-131.25,0.95,0.08,0.08842105263157896
0.01,-131.25,0.95,0.09,0.04973684210526316
0.005,-131.25,0.95,0.005,0.02625
0.005,-131.25,0.95,0.01,0.049736842105263156
0.005,-131.25,0.95,0.015,0.07046052631578947
0.005,-131.25,0.95,0.02,0.08842105263157896
0.005,-131.25,0.95,0.025,0.10361842105263158
0.005,-131.25,0.95,0.030000000000000002,0.11605263157894737
0.005,-131.25,0.95,0.035,0.1257236842105263
0.005,-131.25,0.95,0.04,0.1326315789473684
0.005,-131.25,0.95,0.045,0.13677631578947366
0.005,-131.25,0.95,0.049999999999999996,0.1381578947368421
0.005,-131.25,0.95,0.05499999999999999,0.13677631578947366
0.005,-131.25,0.95,0.05999999999999999,0.1326315789473684
0.005,-131.25,0.95,0.06499999999999999,0.12572368421052632
0.005,-131.25,0.95,0.06999999999999999,0.11605263157894737
0.005,-131.25,0.95,0.075,0.10361842105263158
0.005,-131.25,0.95,0.08,0.08842105263157896
0.005,-131.25,0.95,0.085,0.07046052631578949
0.005,-131.25,0.95,0.09000000000000001,0.04973684210526316
0.005,-131.25,0.95,0.09500000000000001,0.026250000000000002
0.025,-105,0.3958333333333333,0.025,0.10361842105263158
0.025,-105,0.3958333333333333,0.05,0.13815789473684212
0.025,-105,0.3958333333333333,0.07500000000000001,0.10361842105263158
0.01,-105,0.3958333333333333,0.01,0.04973684210526316
0.01,-105,0.3958333333333333,0.02,0.08842105263157896
0.01,-105,0.3958333333333333,0.03,0.11605263157894738
0.01,-105,0.3958333333333333,0.04,0.13263157894736843
0.01,-105,0.3958333333333333,0.05,0.13815789473684212
0.01,-105,0.3958333333333333,0.060000000000000005,0.13263157894736843
0.01,-105,0.3958333333333333,0.07,0.11605263157894738
0.01,-105,0.3958333333333333,0.08,0.08842105263157896
0.01,-105,0.3958333333333333,0.09,0.04973684210526316
0.005,-105,0.3958333333333333,0.005,0.02625
0.005,-105,0.3958333333333333,0.01,0.049736842105263156
0.005,-105,0.3958333333333333,0.015,0.07046052631578947
0.005,-105,0.3958333333333333,0.02,0.08842105263157896
0.005,-105,0.3958333333333333,0.025,0.10361842105263158
0.005,-105,0.3958333333333333,0.030000000000000002,0.11605263157894737
0.005,-105,0.3958333333333333,0.035,0.1257236842105263
0.005,-105,0.3958333333333333,0.04,0.1326315789473684
0.005,-105,0.3958333333333333,0.045,0.13677631578947366
0.005,-105,0.3958333333333333,0.049999999999999996,0.1381578947368421
0.005,-105,0.3958333333333333,0.05499999999999999,0.13677631578947366
0.005,-105,0.3958333333333333,0.05999999999999999,0.1326315789473684
0.005,-105,0.3958333333333333,0.06499999999999999,0.12572368421052632
0.005,-105,0.3958333333333333,0.06999999999999999,0.11605263157894737
0.005,-105,0.3958333333333333,0.075,0.10361842105263158
0.005,-105,0.3958333333333333,0.08,0.08842105263157896
0.005,-105,0.3958333333333333,0.085,0.07046052631578949
0.005,-105,0.3958333333333333,0.09000000000000001,0.04973684210526316
0.005,-105,0.3958333333333333,0.09500000000000001,0.026250000000000002
0.025,-105,0.7916666666666666,0.025,0.10361842105263158
0.025,-105,0.7916666666666666,0.05,0.13815789473684212
0.025,-105,0.7916666666666666,0.07500000000000001,0.10361842105263158
0.01,-105,0.7916666666666666,0.01,0.04973684210526316
0.01,-105,0.7916666666666666,0.02,0.08842105263157896
0.01,-105,0.7916666666666666,0.03,0.11605263157894738
0.01,-105,0.7916666666666666,0.04,0.13263157894736843
0.01,-105,0.7916666666666666,0.05,0.13815789473684212
0.01,-105,0.7916666666666666,0.060000000000000005,0.13263157894736843
0.01,-105,0.7916666666666666,0.07,0.11605263157894738
0.01,-105,0.7916666666666666,0.08,0.08842105263157896
0.01,-105,0.7916666666666666,0.09,0.04973684210526316
0.005,-105,0.7916666666666666,0.005,0.02625
0.005,-105,0.7916666666666666,0.01,0.049736842105263156
0.005,-105,0.7916666666666666,0.015,0.07046052631578947
0.005,-105,0.7916666666666666,0.02,0.08842105263157896
0.005,-105,0.7916666666666666,0.025,0.10361842105263158
0.005,-105,0.7916666666666666,0.030000000000000002,0.11605263157894737
0.005,-105,0.7916666666666666,0.035,0.1257236842105263
0.005,-105,0.7916666666666666,0.04,0.1326315789473684
0.005,-105,0.7916666666666666,0.045,0.13677631578947366
0.005,-105,0.7916666666666666,0.049999999999999996,0.1381578947368421
0.005,-105,0.7916666666666666,0.05499999999999999,0.13677631578947366
0.005,-105,0.7916666666666666,0.05999999999999999,0.1326315789473684
0.005,-105,0.7916666666666666,0.06499999999999999,0.12572368421052632
0.005,-105,0.7916666666666666,0.06999999999999999,0.11605263157894737
0.005,-105,0.7916666666666666,0.075,0.10361842105263158
0.005,-105,0.7916666666666666,0.08,0.08842105263157896
0.005,-105,0.7916666666666666,0.085,0.07046052631578949
0.005,-105,0.7916666666666666,0.09000000000000001,0.04973684210526316
0.005,-105,0.7916666666666666,0.09500000000000001,0.026250000000000002
0.025,-105,1.1875,0.025,0.10361842105263158
0.025,-105,1.1875,0.05,0.13815789473684212
0.025,-105,1.1875,0.07500000000000001,0.10361842105263158
0.01,-105,1.1875,0.01,0.04973684210526316
0.01,-105,1.1875,0.02,0.08842105263157896
0.01,-105,1.1875,0.03,0.11605263157894738
0.01,-105,1.1875,0.04,0.13263157894736843
0.01,-105,1.1875,0.05,0.13815789473684212
0.01,-105,1.1875,0.060000000000000005,0.13263157894736843
0.01,-105,1.1875,0.07,0.11605263157894738
0.01,-105,1.1875,0.08,0.08842105263157896
0.01,-105,1.1875,0.09,0.04973684210526316
0.005,-105,1.1875,0.005,0.02625
0.005,-105,1.1875,0.01,0.049736842105263156
0.005,-105,1.1875,0.015,0.07046052631578947
0.005,-105,1.1875,0.02,0.08842105263157896
0.005,-105,1.1875,0.025,0.10361842105263158
0.005,-105,1.1875,0.030000000000000002,0.11605263157894737
0.005,-105,1.1875,0.035,0.1257236842105263
0.005,-105,1.1875,0.04,0.1326315789473684
0.005,-105,1.1875,0.045,0.13677631578947366
0.005,-105,1.1875,0.049999999999999996,0.1381578947368421
0.005,-105,1.1875,0.05499999999999999,0.13677631578947366
0.005,-105,1.1875,0.05999999999999999,0.1326315789473684
0.005,-105,1.1875,0.06499999999999999,0.12572368421052632
0.005,-105,1.1875,0.06999999999999999,0.11605263157894737
0.005,-105,1.1875,0.075,0.10361842105263158
0.005,-105,1.1875,0.08,0.08842105263157896
0.005,-105,1.1875,0.085,0.07046052631578949
0.005,-105,1.1875,0.09000000000000001,0.04973684210526316
0.005,-105,1.1875,0.09500000000000001,0.026250000000000002
